id,headline,wins,losses,ties,comparisons,uncertainty
856,"Jobless Claims Rise to 778,000",0,1,0,1,1
857,Biden Pitches New Spending Framework to Senate Dems,1,0,0,1,1
858,Turmoil Spreads to Yemen,1,0,0,1,1
859,Author of 'Anonymous' Op-Ed Revealed as Former DHS Chief of Staff Miles Taylor,0,1,0,1,1
860,Black Friday kicks off,0,1,0,1,1
861,Jan. 6 Committee Holds First Prime-Time Hearing on Capitol Riot,1,0,0,1,1
862,Bill Gates: Rich Countries 'Should Move to 100% Synthetic Beef',1,0,0,1,1
863,Trump Pardons Oregon Ranchers Whose Case Sparked Wildlife Refuge Standoff,0,1,0,1,1
864,Rubio Expresses Skepticism Over GOP Trickle-Down Tax Strategy,0,1,0,1,1
865,South Dakota to Send Troops to Texas Border,1,0,0,1,1
866,New York Times Apologizes For A Tweet About New Sexual Misconduct Allegation Against Brett Kavanaugh,1,0,0,1,1
867,President Trump Delivers Two-Hour Speech at CPAC,0,1,0,1,1
868,Biden Heads to Iowa,0,1,0,1,1
869,Could the Battle for the Donbas Change the Russia-Ukraine Conflict?,1,0,0,1,1
870,Countries Balance Climate Pledges with Economic Strains at COP27,0,1,0,1,1
871,Week Two Of Public Hearings Into The Trump Impeachment Inquiry,1,0,0,1,1
872,Clinton Email Scandal Continues,1,0,0,1,1
873,Jan. 6 Committee Considers Seeking Testimony From Pence and Trump,0,1,0,1,1
874,No Progress After White House Meeting,1,0,0,1,1
875,North Korea Back Online,0,1,0,1,1
876,Government Reopens,0,1,0,1,1
877,Dennis Hastert Indicted,1,0,0,1,1
878,Joe Walsh Ends Primary Bid Against Trump,1,0,0,1,1
879,Romney vs Reid,0,1,0,1,1
880,"Merkel, Obama Repair Relationship",0,1,0,1,1
881,Parents of Bombing Suspects to be Questionned,1,0,0,1,1
882,Ahmaud Arbery Killing Puts Racial Violence Under Microscope,0,1,0,1,1
883,"Trump Says Up to 15,000 Troops Will Go to Border Ahead of Migrant Caravan",1,0,0,1,1
884,Trump Delays Climate Accord Decision,1,0,0,1,1
885,Justice Department Releases Redacted Mar-a-Lago Affidavit,0,1,0,1,1
886,Honoring America’s Veterans,0,1,0,1,1
887,New US Jobless Claims Drop to Pandemic Low,1,0,0,1,1
888,POTUS Starts Tweeting,0,1,0,1,1
889,"Biden Fields Criticism on Border Crisis From GOP, Arizona Dems",1,0,0,1,1
890,Los Angeles County Reinstates Indoor Mask Mandate,0,1,0,1,1
891,Biden Taps Former FDA Chief David Kessler to Lead Coronavirus Vaccination Efforts,0,0,1,1,1
892,Perspectives: Martin Luther King Jr. Day 2022,0,0,1,1,1
893,"Committee Releases Jan. 6 Texts from Fox Hosts, Trump Jr.",1,0,0,1,1
894,Fox News Announces It Will Back CNN in Lawsuit Against Trump Administration,0,1,0,1,1
895,Their Own Words: Ford and Kavanaugh,0,1,0,1,1
896,Committee Wants Hillary to Explain,1,0,0,1,1
897,Walmart Announces Program to Pay for Employees' College Tuition,0,1,0,1,1
898,Global Climate Strike,1,0,0,1,1
899,680 Unauthorized Workers Arrested in Mississippi,0,1,0,1,1
900,Twitter Layoffs Begin After Musk Takeover,1,0,0,1,1
901,Perspectives: James Carville and the Language of 'Wokeness',1,0,0,1,1
902,William Barr Confirmed as Attorney General,0,1,0,1,1
903,How Inflation Will Impact Your Fourth of July Celebrations,1,0,0,1,1
904,Election Update,0,1,0,1,1
905,Hagel Nomination Filibuster,0,1,0,1,1
906,Unemployment Rate Drops,1,0,0,1,1
907,"Trump Is in Excellent Health, According to White House Physician",0,1,0,1,1
908,Facebook Suspends Conspiracy Theorist Alex Jones for 'Hate Speech' and Encouraging 'Physical Harm',1,0,0,1,1
909,Clinton Questioned by FBI,0,1,0,1,1
910,"Cori Bush Testifies Before Congress About 'Racist' Treatment During Childbirth, Faces Backlash For Using Term 'Birthing People'",1,0,0,1,1
911,GOP Resists Anti-Tax Pledge,1,0,0,1,1
912,"G7 Leaders Meet in Germany, Speak With Zelenskyy",0,1,0,1,1
913,Congress Debates Healthcare Proposal,0,0,1,1,1
914,FDA Advisory Panel Backs Pfizer Vaccine for Kids Ages 5 to 11,0,0,1,1,1
915,Trump Tweets About Allegations and Due Process,1,0,0,1,1
916,Yellen Says US Economy Shows No Signs of Recession,0,1,0,1,1
917,Analysis of Benghazi Hearing,1,0,0,1,1
918,"Abbott, O'Rourke Win in 2022 Texas Primaries",0,1,0,1,1
919,Newspapers Voice Concerns Over Tariffs on Canadian Newsprint,0,1,0,1,1
920,Former Florida Governor Candidate Gillum Found With Drugs in Miami Hotel,1,0,0,1,1
921,President Trump Visits Buckingham Palace,1,0,0,1,1
922,Biden Signs $1.2T Infrastructure Bill Into Law,0,1,0,1,1
923,Democratic Wins Prompt Speculation of Biden Comeback,1,0,0,1,1
924,"CDC Report Says Double Masking, Knotting and Tucking Reduce Coronavirus Spread",0,1,0,1,1
925,Perspectives: Trump Hasn't Yet Conceded the Election,0,1,0,1,1
926,Transgender Student Wins Landmark Appeal,1,0,0,1,1
927,Perspectives: Some Gun Activists Dismayed at Biden 'F-15s' Comments,1,0,0,1,1
928,Trump to Call for More Pressure on NK,0,1,0,1,1
929,22 states sue Trump administration for cutting power plant regulations,0,1,0,1,1
930,"At Least 13 US Troops, Over 100 Afghans Killed in Suicide Bombing Near Kabul Airport",1,0,0,1,1
931,Trump Cancels Planned January 6 News Conference,0,1,0,1,1
932,8 Children Killed in Australia,1,0,0,1,1
933,Cruz Picks Fiorina as Running Mate,0,1,0,1,1
934,Colorado School District Moves to 4-Day Week,1,0,0,1,1
935,Preview: Super Tuesday 2020,0,1,0,1,1
936,President Trump Reportedly Interested in Buying Greenland,1,0,0,1,1
937,Trump Names Communications Team,0,1,0,1,1
938,Criticism of Healthcare.gov grows,1,0,0,1,1
939,January 6 Select Committee Hearings Begin,0,1,0,1,1
940,Michael Avenatti Claims to Have Evidence That Brett Kavanaugh Facilitated High School ‘Gang Rapes’,1,0,0,1,1
941,Migrant Children Battle Moves to Congress,1,0,0,1,1
942,Moderna Asks FDA to Authorize COVID-19 Vaccine for Kids Under 6,0,1,0,1,1
943,April 2018 Jobs Report,0,1,0,1,1
944,Sarah Sanders Joins Fox News,1,0,0,1,1
945,Amazon to Cut Bonuses and Stock Incentives After Raising Minimum Wage,1,0,0,1,1
946,What to Watch for: The 2020 Presidential Election,0,1,0,1,1
947,Closing in on a Deal?,0,1,0,1,1
948,"Devin Nunes Sues Twitter, Users for Over $250M Alleging Bias Against Conservatives",1,0,0,1,1
949,Bipartisan House Deal to Avert Shutdown Faces Opposition From Senate Republicans,1,0,0,1,1
950,"Bush Video, Trump Response Shine Light on Hyperpartisanship",0,1,0,1,1
951,Six Injured in Clash Between Free Speech Rally and Counter-Protesters,1,0,0,1,1
952,US to Begin Evacuating Afghan Allies in Late July,0,1,0,1,1
953,"Controversial Study Estimates ""Superspreader"" Sturgis Motorcycle Rally Linked to 266,000 COVID-19 Cases",1,0,0,1,1
954,Kamala Harris Holds CNN Town Hall After Announcing 2020 Candidacy,0,1,0,1,1
955,House To Vote on Resolution Condemning Trump Tweets,0,1,0,1,1
956,US Intelligence Reportedly Anticipated Coronavirus Pandemic,1,0,0,1,1
957,Protests Over Bank Account Access in China Turn Violent,1,0,0,1,1
958,Liz Truss: What Can We Learn From the UK’s Shortest-Serving Prime Minister?,0,1,0,1,1
959,"Rivers Run Dry as Droughts and Heat Waves Persist in North America, Europe and Asia",1,0,0,1,1
960,Senate Prepares For Showdown On National Emergency Declaration,1,0,0,1,1
961,"US States, World Gradually Ease COVID-19 Restrictions",0,1,0,1,1
962,Report: Some Members of Congress Benefited From PPP Loan Program,1,0,0,1,1
963,Rittenhouse Judge Bans MSNBC From Courtroom Over Alleged Attempt to Photograph Jurors,0,1,0,1,1
964,Perspectives: Evaluating Kamala Harris as Biden's VP Choice,1,0,0,1,1
965,Indiana To Clarify New Law,0,1,0,1,1
966,Norquist Anti-Tax Pledge,0,1,0,1,1
967,Rioting Rocks Baltimore,1,0,0,1,1
968,Changes to the Democratic Platform,1,0,0,1,1
969,Campaign Finance,0,1,0,1,1
970,Trump to Demand Border Wall Money in Budget,0,1,0,1,1
971,Are Republicans Ready To Move On From Donald Trump?,1,0,0,1,1
972,"Was Hutchinson's Jan. 6 Testimony Damning, or Deserving of Skepticism?",1,0,0,1,1
973,Biden Comment Controversy,0,1,0,1,1
974,"US, China Join Paris Climate Pact",0,1,0,1,1
975,How Would Overturning Roe v Wade Impact the 2022 Elections?,1,0,0,1,1
976,Defense Department Announces Additional $775 Million Ukraine Aid Package as Russian Invasion Stalls,1,0,0,1,1
977,Jobless Claims Fall to Another Pandemic Low,0,1,0,1,1
978,Verizon Drops OAN from TV Product,0,1,0,1,1
979,AG Merrick Garland Testifies Before House Judiciary Committee,1,0,0,1,1
980,Low Enrollment Numbers for ACA,0,0,1,1,1
981,Fiscal Cliff Analysis,0,0,1,1,1
982,Pennsylvania Judges Uphold New Congressional Map,0,0,1,1,1
983,Editorials on Gun Control,0,0,1,1,1
984,Stacey Abrams Ends Bid for Georgia Governor,0,0,1,1,1
985,Secret Service Head to Testify,0,0,1,1,1
986,Remembering Fallen Service Members on Memorial Day,0,1,0,1,1
987,China Retaliates as US Tariffs Take Effect,1,0,0,1,1
988,"Manchin, Schumer Strike Deal on $739B Spending Package",0,1,0,1,1
989,Trump Tweets About Potential Protesters Ahead of Saturday Tulsa Rally,1,0,0,1,1
990,Gas Rebate Cards? What the White House May Do About High Gas Prices,1,0,0,1,1
991,Supreme Thursday,0,1,0,1,1
992,"Kellyanne Conway, Reporter Under Fire Over Question Dispute",0,1,0,1,1
993,"House Democrats Propose Rule Changes, Eliminate Gendered Language for Incoming Congress",1,0,0,1,1
994,Former U.S. Presidents Raise $31 Million for Hurricane Victims,1,0,0,1,1
995,Obamacare fix now in a fix,0,1,0,1,1
996,"Nancy Pelosi Discusses Attack on Husband, Says it Will Influence Retirement Decision",1,0,0,1,1
997,UN Releases Report on Human Rights Violations in China's Xinjiang,0,1,0,1,1
998,Healthcare Reform in the Senate,0,1,0,1,1
999,Will Obama Convince Sanders?,1,0,0,1,1
1000,GOP Candidate Beats Trump-Backed Opponent in Texas House Runoff,1,0,0,1,1
1001,Could The US Adopt A Four-Day Workweek?,0,1,0,1,1
1002,House Leaders Unveil Budget Bill,0,1,0,1,1
1003,Romney Taxes,1,0,0,1,1
1004,California to Ban Sales of New Gas-Powered Cars by 2035,0,0,1,1,1
1005,More on the FBI Probe,0,0,1,1,1
1006,Trump Denounces Critics of PR Response,1,0,0,1,1
1007,Biden Administration Extends Student Loan Payment Pause to Jan. 2022,0,1,0,1,1
1008,Trump’s Religious Freedom Executive Order,0,1,0,1,1
1009,Jeb Bush on Immigration,1,0,0,1,1
1010,"Speaker Pelosi Visits Armenia, Blames Azerbaijan for Recent Fighting",1,0,0,1,1
1011,"'People's Convoy' Arrives in Washington, DC",0,1,0,1,1
1012,Kim Kardashian Fined $1.26M for Unlawfully Promoting Cryptocurrency,1,0,0,1,1
1013,Trump Draws Backlash for Mocking Kavanaugh Accuser Christine Blasey Ford,0,1,0,1,1
1014,"Perspectives: The Global Impact of Facebook, WhatsApp and Instagram Going Dark",1,0,0,1,1
1015,Democrats Issue Subpoena for Full Mueller Report,0,1,0,1,1
1016,Sessions Faces Grilling in Senate Today,1,0,0,1,1
1017,OPEC+ Agrees To Boost Oil Production as Gas Prices Remain High Worldwide,0,1,0,1,1
1018,"White House Defends Soleimani Killing In New Memo, Leaves Some Skeptical",1,0,0,1,1
1019,"Fed Hikes Interest Rate for Third Time This Year, Citing Strong Economy",0,1,0,1,1
1020,FBI Director Wray Testifies About Capitol Breach,0,1,0,1,1
1021,Former Trump Adviser Roger Stone Indicted By A Federal Grand Jury,1,0,0,1,1
1022,Egypt Protests,1,0,0,1,1
1023,Biden Moving Up Vaccine Eligibility Date to April 19th,0,1,0,1,1
1024,Protests Turn Peaceful in MO,0,1,0,1,1
1025,Hillary Trails in 3 Swing States,1,0,0,1,1
1026,Taxes and Fiscal Cliff,0,1,0,1,1
1027,Obama Makes Case for Government,1,0,0,1,1
1028,Florida Governor Asks For Investigation of Senate Race Vote Count,1,0,0,1,1
1029,CDC Recommends Vaccinated People Wear Masks Indoors in High Transmission Areas,0,1,0,1,1
1030,Mixed Reactions to State Pick,0,1,0,1,1
1031,Pelosi Introduces Resolution to Launch January 6 Probe,1,0,0,1,1
1032,North Korea Tests Another Nuke,1,0,0,1,1
1033,Trump Plans Immigration Speech,0,1,0,1,1
1034,Twitter Founder Jack Dorsey Steps Down as CEO,0,1,0,1,1
1035,House GOP Votes to Oust Liz Cheney From Leadership Post,1,0,0,1,1
1036,President Trump Continues Coronavirus Fight at White House,1,0,0,1,1
1037,Merry Christmas 2017,0,1,0,1,1
1038,Covington High School Student Speaks Out Amid Controversy,1,0,0,1,1
1039,Nearly 3 Million Americans Filed for Unemployment Benefits Last Week,0,1,0,1,1
1040,Trump and Putin Summit Underway in Helsinki,1,0,0,1,1
1041,US Ramps Up Vaccine Availability,0,1,0,1,1
1042,Bill Barr's Comments at Hillsdale College Draw Differences in Coverage,1,0,0,1,1
1043,FBI Investigating Whitefish Energy Contract,0,1,0,1,1
1044,Fiscal Deal Analysis,0,1,0,1,1
1045,Trump Played Key Role in Payments Made to Stormy Daniels and Karen McDougal,1,0,0,1,1
1046,Former FBI Lawyer Lisa Page Hits Back At Trump's Attacks,1,0,0,1,1
1047,Federal Judge Blocks Enforcement of Texas Heartbeat Act,0,1,0,1,1
1048,Brexit Delay Approved by EU,0,1,0,1,1
1049,Biden Signs $1.9 Trillion COVID-19 Relief Bill Into Law,1,0,0,1,1
1050,French Police Make Anti-Terror Sweep,1,0,0,1,1
1051,Pence Endorses Opponent of Trump-Backed Candidate for Arizona Governor,0,1,0,1,1
1052,Immigration Order - Facts and Questions,0,1,0,1,1
1053,Egypt President Seizes New Power,1,0,0,1,1
1054,Putin Marks Russia's 'Victory Day' With Speech as Ukraine Conflict Continues,1,0,0,1,1
1055,GOP Delegate Race,0,1,0,1,1
1056,Low Youth Participation in ACA,0,0,1,1,1
1057,"Clinton, Trump Tied in 3 Swing-State Polls",0,0,1,1,1
1058,Fight for Gun Control,1,0,0,1,1
1059,Upcoming State of the Union,0,1,0,1,1
1060,Intel Officials Warn of Possible Russian Interference in 2020 Election,1,0,0,1,1
1061,Trump Vetoes Bill To End US Military Assistance In Yemen,0,1,0,1,1
1062,Fauci Says US Should ‘Seriously’ Consider Vaccine Mandate for Domestic Flights,1,0,0,1,1
1063,Fauci Says He Will Likely Leave Current Position by End of Biden’s Term,0,1,0,1,1
1064,Was Joe Biden Involved in Hunter's Business Deal with a Chinese Energy Firm?,1,0,0,1,1
1065,'Racially Motivated' Shooting Inside Buffalo Supermarket Leaves at Least 10 Dead,0,1,0,1,1
1066,Options for US Military Effort in Syria,1,0,0,1,1
1067,Germany Halts Certification of Nord Stream 2 Gas Pipeline,0,1,0,1,1
1068,Trump Urges GOP Lawmakers to Drop Immigration Effort,1,0,0,1,1
1069,Trudeau's Liberal Party Wins in Canada but Remains a Minority Government,0,1,0,1,1
1070,Yellen Calls for Global Minimum Corporate Tax Rate,1,0,0,1,1
1071,Texas Election Lawsuit Gains Some GOP Support; Others Cast Doubt,0,1,0,1,1
1072,Further Shutdowns Possible?,0,1,0,1,1
1073,"Asked About Peaceful Transition of Power, Trump Says 'We're Gonna Have to See What Happens'",1,0,0,1,1
1074,Perspectives: President Joe Biden's Falling Poll Numbers,1,0,0,1,1
1075,Obama Talks Hillary’s Experience,0,1,0,1,1
1076,Obama on Russian Hacking,1,0,0,1,1
1077,Fight Over Sequester Cuts,0,1,0,1,1
1078,Jackson Nomination Moves Forward After Committee Hits Partisan Deadlock,1,0,0,1,1
1079,NSA at Senate Hearing,0,1,0,1,1
1080,Joe Biden Dismisses Possible Impeachment Trial Witness Swap,0,1,0,1,1
1081,"Democrats Move to Raise Taxes on Businesses, Top Earners",1,0,0,1,1
1082,Talk About Putin Continues,0,1,0,1,1
1083,US National Debt Tops $31 Trillion for First Time,1,0,0,1,1
1084,Election Coverage: Competitive Senate Races,0,1,0,1,1
1085,Trump Speaks to Vets,1,0,0,1,1
1086,India Hosts President Trump,0,0,1,1,1
1087,Flynn and Russia,0,0,1,1,1
1088,Republicans Press New FBI Director,1,0,0,1,1
1089,"Georgia, Louisiana Postpone Primary Elections",0,1,0,1,1
1090,Perspectives: Biden Announces Plan To Regulate 'Ghost Guns',1,0,0,1,1
1091,Obama Proposes Overtime Pay Increase,0,1,0,1,1
1092,"Pfizer Says its COVID-19 Vaccine is Safe, Effective for Kids Ages 5-11",0,0,1,1,1
1093,NRA Recommendation,0,0,1,1,1
1094,Andrew Gillum Concedes to Ron DeSantis in Florida Governor Race,0,0,1,1,1
1095,"Supreme Court to Overturn Roe v Wade, Draft Opinion Shows",0,0,1,1,1
1096,NSA Monitored 35 World Leaders,1,0,0,1,1
1097,Happy Fourth of July 2019!,0,1,0,1,1
1098,Who Will Replace Supreme Court Justice Stephen Breyer?,0,1,0,1,1
1099,White House Revokes CNN Reporter Jim Acosta's Press Credentials After Testy Exchange With Trump,1,0,0,1,1
1100,Is Trump Evolving,0,1,0,1,1
1101,U.S. Lack of Response to Iraq,1,0,0,1,1
1102,When Will Emails Be Released,1,0,0,1,1
1103,"Abrams, Kemp Debate in 2022 Georgia Governor's Race",0,1,0,1,1
1104,Judgement of Sebelius,0,1,0,1,1
1105,Attack at British Parliament,1,0,0,1,1
1106,Trump to Give First State of the Union,0,1,0,1,1
1108,Biden Shows Signs of Improvement in Bout with COVID-19,1,0,0,1,1
1109,Kentucky Clerk Stands Ground,0,1,0,1,1
1110,Democratic Platform,1,0,0,1,1
1111,Ocasio-Cortez Says Pelosi and Schumer Need to Go,0,1,0,1,1
1112,Whistleblower Claims Medical Neglect and High Rate of Hysterectomies at ICE Facility; Coverage Differs,1,0,0,1,1
1113,Annual Inflation Rises to 40-Year High of 9.1%,0,1,0,1,1
1114,Obama and the Mid Term Elections,0,1,0,1,1
1115,Nancy Pelosi Says It May Be Possible To Indict a Sitting President,1,0,0,1,1
1116,Supreme Court Denies Review on Homeless Ticketing Appeal,0,1,0,1,1
1117,Trump Threatens Tariffs on France,1,0,0,1,1
1118,Clinton and DNC Funded Trump-Russia Dossier,1,0,0,1,1
1119,What the NO vote in Scotland means,0,1,0,1,1
1120,"DOJ, Cleveland Police Reach Deal",1,0,0,1,1
1121,COVID-19 Vaccine Speculation Persists; Healthcare Firms Outline Careful Development,0,1,0,1,1
1122,Will Debbie Be Dropped?,1,0,0,1,1
1123,Night 2: Christie on Hillary,0,1,0,1,1
1124,"Trump Calls European Union, Russia, China 'Foes' of U.S.",1,0,0,1,1
1125,Debate: Libya Fact Check,0,1,0,1,1
1128,"US Jobless Claims Rise to 744,000",1,0,0,1,1
1129,"""Skinny Repeal"" Motions Fails",0,1,0,1,1
1130,Perspectives: Obama's 'Defund the Police' Remarks,1,0,0,1,1
1131,$1.1 Trillion Spending Bill,0,1,0,1,1
1132,How Accurate Are Mark Esper's Allegations Against Trump?,1,0,0,1,1
1133,"DOJ Wants Mar-a-Lago Warrant Affidavit Kept Private; Trump, News Outlets Seek Release",0,1,0,1,1
1134,Perspectives: Netanyahu Ousted as Israel's Prime Minister,1,0,0,1,1
1135,"Russian Forces Withdraw From Strategic Snake Island, Ukraine Says",0,1,0,1,1
1136,Suspect in Custody After Texas School Shooting Leaves At Least 8 Dead,1,0,0,1,1
1137,Iran Tests Ballistic Missile,0,1,0,1,1
1138,California Man Indicted For Plotting to Murder Justice Kavanaugh,1,0,0,1,1
1139,OP-ED: Reflections on Bush Presidency,0,1,0,1,1
1140,"Inflation Stayed Hot in May, Hitting Another 40-Year High",0,1,0,1,1
1141,Will the 2022 Elections Be Affected by the Roe v Wade Reversal?,1,0,0,1,1
1142,Walmart Increases Minimum Wage,0,1,0,1,1
1143,Sessions Expands Civil Asset Forfeiture,1,0,0,1,1
1144,One Capitol Police Officer and Suspect Dead After Vehicle Attack,1,0,0,1,1
1145,Congress Back to Work,0,1,0,1,1
