headline,source,label
Papadopoulos: I was 'pinned' in FBI interview,Politico,left
Landmark California Task Force Calls for “Comprehensive Reparations” for Slavery,TruthOut,left
"Reparations could include tuition, housing grants, California task force says",CalMatters,center
California Reparations Task Force Recommends 10 New State Offices in Report,The Epoch Times,right
Trump's emergency declaration would trigger a drawn out legal fight,USA TODAY,left
Not All Conservatives Are Happy About Trump's National Emergency Declaration,Townhall,right
'Dangerous.' 'Abuse.' 'Lawless': Bipartisan attack on Trump national emergency declaration,NBC News (Online),left
Powell Warns of Prolonged Economic Pain Without Help,New York Times (News),left
Fed’s Powell: Lack of further stimulus imperils recovery,Associated Press,left
Fed chief Jerome Powell calls for more coronavirus stimulus spending,New York Post (News),right
Tax Cuts Are the Glue Holding a Fractured Republican Party Together,New York Times (News),left
House Republicans just cleared the way for tax reform,Insider,left
"House passes $4 trillion budget, clears way for Trump tax plan",New York Post (News),right
26 states will raise the minimum wage this year,Axios,center
"If Biden wants a win, he should raise the minimum wage",Washington Examiner,right
How the current worker shortage is really a wage shortage,NYNMedia,left
OPINION: Shutdown truce just delays Trump's big dilemma,Guest Writer - Left,left
Winners and losers from the government shutdown,The Hill,center
"Centrists break Senate logjam, pave new path for ‘common sense’ bipartisanship",Washington Times,right
"Why Congress is moving against sexual harassment, 4 years after #MeToo",Politico,left
Congress approves sex harassment bill in #MeToo milestone,Associated Press,left
Congress passes bipartisan bill ending forced arbitration in sexual misconduct cases,Washington Times,right
UN chief: World is ‘paralyzed’ and equity is slipping away,Associated Press,left
"UN General Assembly opens, as Antonio Guterres warns of a world in 'great peril'",Deutsche Welle,center
United Nations chief calls for fossil fuel windfall tax,Washington Examiner,right
Former Ohio State Wrestlers Say Rep. Jim Jordan Knew of Team Doctor’s Alleged Misconduct,Wall Street Journal (News),center
The list of Jim Jordan accusers keeps growing,ThinkProgress,left
"If We Still Believe In Innocent Until Proven Guilty, Jim Jordan Should Be No Exception",The Federalist,right
Obama sends aid to Israel ahead of Romney visit,Fox News (Online News),right
Obama signs U.S.-Israel security act on eve of Romney trip,CNN (Online News),left
Obama Gets Ahead Of Mitt Romney On Israel,HuffPost,left
"South Africa violence continues to spiral, causing food and fuel shortages",New York Post (News),right
"Enemies of democracy behind South Africa protests, says president",The Guardian,left
"KZN, Gauteng unrest: Death toll rises to 117, over 2 200 arrested",The South African,center
Report: Reid Wants Obama To Delay Immigration Executive Orders,CBS News (Online),left
Watch Obama make the case against executive action,Fox News (Online News),right
GOP considers bill to block President Obama on immigration,Politico,left
White House outlines plan to vaccinate children ages 5 to 11,New York Post (News),right
The U.S. is ready to roll out the COVID vaccine once it's approved for kids age 5-11,NPR (Online News),left
White House details plan to roll out Covid-19 vaccines for children ages 5 to 11,CNN (Online News),left
"Joe Biden’s $1.9 trillion Covid-19 stimulus plan, explained",Vox,left
Biden calls for swift action while outlining $1.9 trillion virus relief package,The Hill,center
Biden refocuses on COVID-19 relief after Trump impeachment,Washington Examiner,right
FDA to meet on Pfizer's coronavirus vaccine EUA application: What to expect,Fox News (Online News),right
Key committee meets Thursday to consider FDA authorization for Pfizer/BioNTech Covid-19 vaccine,CNN (Online News),left
Head of FDA Advisory Panel Predicts Approval for Pfizer’s Covid-19 Vaccine,Wall Street Journal (News),center
Congress Crams Unfinished Agenda Into Final Days,HuffPost,left
Funding Deadline Tops Congress’s Agenda,Wall Street Journal (News),center
Congress returns with immigration action threatening to fuel budget fight,Fox News (Online News),right
"Third Woman, Julie Swetnick, Makes Allegations Against Supreme Court Nominee Brett Kavanaugh",Wall Street Journal (News),center
New Kavanaugh accuser says he was present when she was gang-raped,Washington Examiner,right
Michael Avenatti’s client says she witnessed Kavanaugh sexually assault girls in high school,Vox,left
Opinion: Memories From Normandy,New York Times (News),left
Has Europe forgotten the lessons of D-Day?,Christian Science Monitor,center
"D-Day: A never-to-be-forgotten morning, 70 years ago",Fox News (Online News),right
GOP’s Greitens pushes his luck with ad about hunting ‘RINOs’,MSNBC,left
‘RINO hunting’: Are extremists costing Republicans elections?,NewsNation,center
These bad candidates threaten Republican Senate success,Washington Examiner,right
Five Orthodox Jews wounded in Hanukkah machete attack by 'black male' in New York,Washington Examiner,right
There was an attack on Jewish New Yorkers almost every day last week. Police are investigating these as possible hate crimes,CNN (Online News),left
5 stabbed at Hanukkah celebration in latest attack on Jews,Associated Press,left
Trump's frustration with budget compromise has him considering merits of a 'shutdown',Los Angeles Times,left
Trump: US ‘needs a good shutdown’,The Hill,center
"President Trump Calls for a ""Good Shutdown"" in September to Fix Government ""Mess""",Townhall,right
"House Bill Cuts Health Funds, Raising Odds of U.S. Shutdown",New York Times (News),left
"Obamacare, spending showdown heats up in House",CNN (Online News),left
"GOP goes all-in on de-fund ObamaCare, as shutdown looms",Fox News (Online News),right
Stocks have officially entered bear market territory—here’s what that means and what you should do,CNBC,center
What Happens When Stock Markets Become Bears,New York Times (News),left
S&P 500 enters 'bear market' — here's what that means,Washington Examiner,right
Pentagon cancels Trump-era border wall construction paid for by military funds,Fox News (Online News),right
Trump’s border wall hits a wall as Pentagon cancels parts funded from its budget,The Guardian,left
Biden cancels military-funded border wall projects,The Hill,center
Boston locked down for massive manhunt,Washington Post,left
"Police: One Boston bombing suspect dead, another on the run",CNN (Online News),left
"1 Boston Bombing Suspect Killed, Massive Manhunt Underway for Second Suspect",The Blaze,right
"Deputy AG Rosenstein talked of secretly taping Trump, pushing to invoke 25th Amendment: Report",Washington Times,right
"Rod Rosenstein Suggested Secretly Recording Trump Last Year, FBI Memos Claim",Wall Street Journal (News),center
Rod Rosenstein Suggested Secretly Recording Trump and Discussed 25th Amendment,New York Times (News),left
"Ready or not, here comes Biden's infrastructure push",Bruce Yandle,center
Does Biden's $2 trillion plan to rebuild infrastructure and stop climate change go far enough?,Robert Reich,left
Biden Defines Infrastructure Down,Wall Street Journal (Opinion),right
"Garland launches internal Justice Dept. review to improve hate-crime tracking, prosecutions",Washington Post,left
"Garland launches 30-day DOJ review of hate-based violence, incidents",Fox News (Online News),right
"Attorney General Merrick Garland urges hate crime enforcement strategy, calls for 30-day review",USA TODAY,left
"Russians Hacked Two U.S. Voter Databases, Officials Say",NBC News (Online),left
"Officials: Hackers breach election systems in Illinois, Arizona",CNN (Online News),left
"Election systems hacked in Illinois, Arizona: ‘The FBI is very much worried’",Washington Times,right
Republicans walked right into Peter Strzok's trap -- Here's what they missed (and Americans need to know),Fox News (Opinion),right
Sparks fly in FBI agent's Trump testimony,BBC News,center
Republicans Stage Partisan Showdown Against FBI Agent Peter Strzok,Mother Jones,left
US to raise naturalization application fees by $500,CNN (Online News),left
"Trump administration to increase immigration fees, impose fee for asylum claims",Fox News (Online News),right
"U.S. to Raise Cost for Citizenship Applications, Impose Fee for Asylum Seekers",Wall Street Journal (News),center
Trump blames Hillary Clinton for North Korea nuclear weapons program,USA TODAY,left
"Trump hits back at 'Crooked Hillary,' blames her for North Korea's nuclear progress",Fox News (Online News),right
"Trump Blasts ""Crooked Hillary"" Clinton For North Korea's Nukes On Twitter After She Ripped His UNGA Speech",Bustle,left
Supreme Court Seat Gives Democrats and GOP a Way to Energize Supporters,Wall Street Journal (News),center
"Trump says Supreme Court pick will ‘most likely’ be a woman, announcement could come ‘next week’",Fox News (Online News),right
'Nothing is off the table': Supreme Court fight could reshape the Senate,Politico,left
"US panel backs COVID-19 boosters only for elderly, high-risk",Associated Press,left
FDA panel endorses coronavirus boosters for older adults and those at risk of serious disease,Washington Post,left
FDA advisory panel votes against recommending COVID-19 booster shots for anyone not over 65 or at risk,New York Post (News),right
What is COP27? Key issues for markets to watch as U.N. climate talks kick off in Egypt,MarketWatch,center
Money will likely be the central tension in the U.N.'s COP27 climate negotiations,NPR (Online News),left
U.N. COP 27 Climate Summit Opens with Applause for ‘Activists’ and Fresh Compensation Call,Breitbart News,right
"Trump talks pardons, lashes special counsel about Russia probe",Reuters,center
Trump Says He Has ‘Complete Power’ to Pardon,New York Times (News),left
"Trump not asking about who he can pardon in Russia case, source says",Fox News (Online News),right
Moderna Receives $1.1B for Launch of Experimental COVID Vaccine,Newsmax (News),right
Moderna says it's on track to report initial COVID-19 vaccine results next month,The Hill,center
Inside Operation Warp Speed’s $18 Billion Sprint for a Vaccine,Bloomberg,left
"Campaigns have spent over $6 billion this year in nonpresidential ads, surpassing 2020",Washington Examiner,right
What is a PAC? The major engines behind election fundraising and spending explained.,USA TODAY,left
State-level midterm election fundraising on track to exceed $7 billion,OpenSecrets.org,center
FBI’s near-brush with suspect in Florida school shooting draws scrutiny,Washington Post,left
From 'broken child' to mass killer,CNN (Online News),left
Did FBI miss a warning before Florida high school shooting?,Washington Times,right
Robert Mueller to Testify in Open Session Before House Committees,Wall Street Journal (News),center
Rep. Collins has long list of questions for Mueller: We'll ask about 'dark underbelly' of Trump probe origins,Fox News (Online News),right
Mueller to testify to Congress in open session about his investigation,Washington Post,left
Bannon: Trump firing Comey biggest mistake 'in modern political history',The Hill,center
Steve Bannon’s damning admission about Trump firing James Comey,Washington Post,left
Steve Bannon: Trump firing James Comey 'maybe' the worst mistake in 'modern political history',Washington Examiner,right
A Dissent Concerning Kevin Williamson,The Atlantic,left
'Hang women who have abortions' is not a view that's fit for public debate,The Guardian,left
Kevin Williamson and Our Fractured Media Landscape,National Review,right
Donald Trump is destroying Jeb Bush: Why his 9/11 gambit could be the last straw,Salon,left
Donald Trump on Bush 9/11 remarks: 'I'm not blaming anybody',CNN (Online News),left
"Trump suggests he might have prevented 9/11 attacks, extending feud with Bush",Fox News (Online News),right
Troubled HealthCare.gov unlikely to work fully by end of November,Washington Post,left
Obama administration: Website won't be perfect on November 30,CNN (Online News),left
HealthCare.gov unlikely to be running by end-of-month deadline: report,Washington Times,right
"Zelensky accuses Russia of terrorism as Ukraine war enters new, uglier phase",Axios,center
Ukraine cities face intense shelling as Russian convoy closes in on Kyiv,NBC News (Online),left
Massive Russian convoy spotted outside Kyiv as Ukraine and Russia continue battling for sixth day,Fox News (Online News),right
Obama embarking on march to party convention,Washington Times,right
Republicans Gear Up To Thwart An Obama North Carolina Two-Peat,NPR (Online News),left
A More Worried Obama Battles to Win Second Term,Wall Street Journal (News),center
Chris Christie Closed New Jersey's State Beaches — And Then Went To The Beach,NPR (Online News),left
Chris Christie’s elitist beach trip all that’s wrong with government,Washington Times,right
Chris Christie defends use of New Jersey beach house during government shutdown,Washington Examiner,right
McCabe Findings Sent to Prosecutors Weighing Criminal Charges,Wall Street Journal (News),center
Andrew McCabe Shops a Book as DOJ Refers Him for Criminal Charges,Daily Beast,left
It's Official: DOJ Inspector General Refers Lyin' McCabe To Federal Prosecutor For Possible Criminal Charges,Townhall,right
"Trump entered June with just $1.3 million in the bank, while Clinton sat on $42 million war chest",Washington Post,left
Trump's $1.3 million cash crunch,The Hill,center
Clinton Buries Trump in Cash Following Dismal Fundraising Month For His Campaign,The Blaze,right
Trump Targets Democrat Policies in CPAC Speech,The Epoch Times,right
Trump outlines preferred policies if GOP retakes Congress in CPAC speech,The Hill,center
"Trump baselessly claims that Jan. 6 instigators and Gretchen Whitmer kidnap plot were 'fake' in CPAC speech, video shows",Insider,left
Cory Booker Launched His Presidential Campaign in the Most Cory Booker Way Possible,The Atlantic,left
Senator Cory Booker launches bid for 2020 presidential nomination,Reuters,center
"If Cory Booker Wants to Win, He’ll Need to Play Partisan",National Review,right
Obama to reportedly delay executive action on immigration until after elections,Fox News (Online News),right
President Barack Obama punts on immigration until after election,Politico,left
"Obama Delays Immigration Action, Yielding to Democratic Concerns",New York Times (News),left
"Republicans Warn Obama: Halt Deportations, And We Might Halt Immigration Reform",HuffPost,left
The GOP Should Be Wary of An Immigration 'Breakout',Wall Street Journal (News),center
Republicans increasingly pessimistic on immigration bill in 2014,Washington Times,right
Joe Biden and Kamala Harris Announce Their COVID-19 Advisory Board,Time Magazine,left
Biden unveils COVID-19 task force,The Hill,center
Biden names Trump whistleblower to counter-coronavirus task force in first move as apparent president-elect,Washington Examiner,right
House Intel Republicans call on Schiff to resign as chairman after Mueller report,NBC News (Online),left
"Trump, Republican lawmakers call on House intelligence chairman to resign",Reuters,center
Adam Schiff confronted by Republicans on House intel panel: 'No faith in your ability',Washington Times,right
Democrat Stansbury Keeps New Mexico U.S. House Seat In Party's Hands,NPR (Online News),left
Democrat Melanie Stansbury wins US House race in New Mexico,Fox News (Online News),right
Dems notch easy win in New Mexico special election,Politico,left
Inflation is making Fourth of July celebrations more expensive than ever,CNBC,center
Fourth of July far costlier one year after White House 16-cent savings boast,Washington Examiner,right
Fourth of July parties will cost more this year but you can save with a bit of math,NPR (Online News),left
House Republicans ramp up pressure over Afghanistan exit,Roll Call,center
Afghanistan chaos: GOP report reveals new details of disastrous withdrawal,Washington Times,right
800 Americans evacuated from Afghanistan since Taliban takeover,Politico,left
Obama: U.S. doesn’t ‘have a strategy yet’ to comprehensively respond to Islamic State,Washington Post,left
Obama: White House still working on ISIL plan,Politico,left
Hitting the Brakes? Obama downplays prospect of imminent strikes in Syria,Fox News (Online News),right
Signs of Progress as Talks Continue on Fiscal Crisis,New York Times (News),left
"Progress, but still no deal, as shutdown enters Day 11",CNN (Online News),left
"GOP relents, offers to raise debt limit; White House mulling proposal",Washington Times,right
Fox News videographer killed in Ukraine after vehicle struck,Associated Press,left
"Fox News cameraman Pierre Zakrzewski, Ukrainian journalist Oleksandra Kuvshynova killed near Kyiv",Washington Post,left
Fox News cameraman Pierre Zakrzewski killed in Ukraine,Fox News (Online News),right
"Obama, lawmakers at odds over Egypt aid",USA TODAY,left
Israel Urges US Not to Freeze Egypt Aid,Newsmax (News),right
"OPINION: Cut Off U.S. Aid to Egypt? It's Not Just a Good Idea, It's the Law",HuffPost,left
'Ben Sasse is a**': Students give Nebraska senator hostile reception as he interviews for University of Florida job,The Blaze,right
Florida students protest Sasse appointment over LGBTQ issues,The Hill,center
Student Protesters Storm Ben Sasse's Q&A Forum At University Of Florida,HuffPost,left
Michigan House OKs contentious right-to-work bill as protesters mass on state Capitol grounds,Washington Post,left
Union activists furious as Michigan holds historic right-to-work vote,Washington Times,right
Right-To-Work Debate Heats Up Ahead Of Mich. Vote,NPR (Online News),left
Homeland Security claims China didn’t reveal COVID-19 crisis to stockpile masks — it still doesn’t explain Trump’s inaction,Raw Story,left
DHS report: China hid virus’ severity to hoard supplies,Associated Press,left
"China Concealed Severity of Virus to Hoard Supplies, DHS Report Concludes",National Review,right
"House Nears Vote To Fund Government, Defund Obamacare",NPR (Online News),left
House to vote on plan to defund ObamaCare as shutdown looms,Fox News (Online News),right
Lawmakers scale back ambitions as government shutdown looms,Washington Post,left
"Russia, U.S. Trade Charges of Violating Ukraine Deal",Wall Street Journal (News),center
Russia blames Kiev for new violence in eastern Ukraine,Washington Post,left
Russia Says Ukraine Failing to Halt Extremists Seeking Civil War,Bloomberg,left
Attorney General Jeff Sessions to testify; Senate Democrats demand public hearing,Washington Times,right
Jeff Sessions to testify: Focus of Russia probe shifts to attorney general,CBS News (Online),left
Jeff Sessions’s Testimony to Keep Russia Probe in Focus,Wall Street Journal (News),center
Is Obama's Executive Amnesty Coming This Week?,Townhall,right
Obama’s New Path Faces Collision Course,Wall Street Journal (News),center
Executive order on immigration would ignite a political firestorm,Washington Post,left
Oregon State University Joins Growing List of Schools Requiring COVID Booster Shot,Newsweek,center
It’s Madness What Is Happening to College Kids,Brownstone Institute,right
8 Steps to Prepare for a Pandemic That’s Becoming Endemic,Inside Higher Ed,left
"Georgia congressional race: Democrat Ossoff, Republican Handel will go to run-off",Fox News (Online News),right
"Jon Ossoff, a Democrat, Narrowly Misses Outright Win in Georgia House Race",New York Times (News),left
Democrat Jon Ossoff Advances To Runoff For Tom Price's Georgia House Seat,Forbes,center
Trump Vetoes Defense-Spending Bill: ‘A Gift to China and Russia’,The Epoch Times,right
Trump vetoes $740 billion defense legislation,CBS News (Online),left
Trump Vetoes Broadly Supported Defense Bill As He Battles Congress On Multiple Fronts,Forbes,center
Trump Administration Considering Ban on Flavored E-Cigarettes,Daily Beast,left
"Trump takes aim at teen vaping, proposes ban on non-tobacco flavored e-cigarettes",Fox News (Online News),right
Trump seeks ban on flavored e-cigarettes,The Hill,center
Nation discovers evangelicals have no moral compass as business leaders pick up the slack,Daily Kos,left
Jerry Falwell Jr.: Trump has 'inside information I don't have' about Charlottesville,Washington Examiner,right
Evangelical students returning university diplomas to protest Trump,The Hill,center
Trump says he will ‘strongly consider’ testifying in writing in impeachment probe,Washington Post,left
Trump tweets he will 'strongly consider' testifying in impeachment inquiry,The Hill,center
‘I like the idea’: Trump will 'strongly consider' giving impeachment testimony to get Congress moving,Washington Examiner,right
"Rick Scott Claims Fraud, Seeks Florida Law Enforcement Probe Of Election Officials",HuffPost,left
Florida Governor asks for vote count investigation,USA TODAY,left
"They're Not Stealing It: Rick Scott, NRSC Sue Democratic Counties For Vote Count Irregularities In Florida Senate Race",Townhall,right
Louisiana Legislators Fail to Overide Veto of Bill Banning Transgender Athletes from Women’s Sports,National Review,right
Louisiana Senate backs transgender sports ban veto override,The Independent,left
Louisiana lawmakers fail to override veto on transgender sports ban,The Hill,center
Examining the 2016 GOP Candidates’ Use of Tax Dollars for Private Companies,The Blaze,right
Elite conservative moneymen remain on sidelines in 2016 race,CNN (Online News),left
Million-dollar donors pump huge sums into 2016 White House race,Washington Post,left
5 Things You Should Know About Bobby Jindal,NPR (Online News),left
Bobby Jindal Makes It Official: ‘I’m Running for President of the United States’,The Blaze,right
Bobby Jindal Announces Bid for President,New York Times (News),left
White House and Republicans Clash Over C.I.A. Torture Report,New York Times (News),left
'Unconscionable': Top Republicans lash out ahead of release of CIA report,Fox News (Online News),right
"Obama, Bush teams battle over torture report",USA TODAY,left
"Trump: Never saw McCabe take notes, 'Can we call them fake memos?'",Fox News (Online News),right
"Trump Ramps Up Criticism of Russia Probe, Derides Comey as Liar",Bloomberg,left
"Trump doubles down, attacking Mueller team, McCabe and Comey",Politico,left
Millennial: On Sept. 11 anniversary let's remember what unites us as Americans,Guest Writer - Right,right
Trump commemorates 9/11 anniversary: 'America cannot be intimidated',Politico,left
9/11: Finding Answers in Ashes 16 Years Later,New York Times (News),left
Senate ships $40B Ukraine aid bill to Biden for signature,Associated Press Fact Check,left
"Ukraine funding bill: These 11 Republican senators split from party leadership, opposed $40 billion in aid",Fox News (Online News),right
Senate passes $40 billion Ukraine aid package,The Hill,center
9/11 anniversary: How has terrorism changed in the past 14 years?,CNN (Online News),left
"OPINION: What 9/11 taught me: We are never powerless, everyone can do something",Guest Writer - Right,right
A new 9/11 memorial to Flight 93: ‘Our loved ones left a legacy for all of us’,Washington Post,left
Trump threatens protesters ahead of Tulsa rally,ABC News (Online),left
"Trump appears to threaten protesters with harsh policing ahead of his controversial rally in Tulsa, Oklahoma",Insider,left
"Trump warns protesters, anarchists and 'lowlifes' ahead of Okla. rally",Washington Times,right
Melania Trump leads new round of White House firing and fury,CNN (Online News),left
Who is Mira Ricardel? First Lady Melania Trump wants the national security official fired,USA TODAY,left
Melania Trump's office calls for firing of top Bolton deputy,Fox News (Online News),right
Trump targeting China with proposed trade tariffs,Washington Times,right
Trump Plans Stiff Trade Tariffs and Other Penalties on China,New York Times (News),left
Trump to hit China with $50 billion in tariffs over intellectual property violations,Chicago Tribune,center
Was SUV driver in Wisconsin parade crash fleeing a crime?,Associated Press,left
Multiple deaths and injuries after car plows through Christmas parade in Wisconsin,Washington Examiner,right
At least 5 killed after SUV plows into Wisconsin holiday parade,CNN (Online News),left
We’re Supposed to Believe Michael Cohen’s One-Person Shell Company Provided “Consulting” Services Worth Millions of Dollars,Slate,left
Narrative Collapse: Novartis Says It Paid Cohen More Than $1 Million for Advice He Couldn’t Provide,Breitbart News,right
"Trump Lawyer Cohen's Camp Rips 'Inaccurate' Allegations, Concedes Some Payments",NPR (Online News),left
"2.1 Million Obamacare Sign-Ups, but Progress Not Clear",ABC News (Online),left
"For Obamacare, it's finally showtime",Politico,left
Obamacare in Full Effect,Townhall,right
"Kathleen Sebelius acknowledges ""frustrating"" problems with health-care Web site",Washington Post,left
Kathleen Sebelius: America 'deserves better',Politico,left
"Sebelius, in hot seat, sympathizes with Americans while pushing Obamacare's goals",Washington Times,right
Can Huckabee Overcome The 'New Car Smell' Of Other Candidates?,NPR (Online News),left
Mike Huckabee and the Continuing Influence of Evangelicals,New York Times (News),left
"Huckabee's Running: Vows Support for Israel, Help for Middle Class",Newsmax (News),right
F.B.I. Papers Offer Closer Look at Hillary Clinton Email Inquiry,New York Times (News),left
FBI files show agents focused Clinton interview questions on 'top secret' emails,Fox News (Online News),right
FBI Documents Show Hillary Clinton Used Many Email Devices,Wall Street Journal (News),center
Senate passes Keystone XL measure,CNN (Online News),left
Senate approves Keystone XL pipeline bill despite veto threat,Los Angeles Times,left
"Senate approves Keystone bill, White House threatens veto",Fox News (Online News),right
The Worst Political Predictions of 2015,Politico,left
The 5 Biggest Wins For America’s Public Lands And Wildlife In 2015,ThinkProgress,left
Starnes: 10 Stories That Fired Up America in 2015,Townhall,right
Autopsy report lists Rayshard Brooks' manner of death as homicide,Axios,center
"Medical examiner details autopsy findings in police shooting of Rayshard Brooks, death ruled homicide",Fox News (Online News),right
Police killing of Rayshard Brooks in Atlanta ruled a homicide,NBC News (Online),left
Paul Wins CPAC Straw Poll,HuffPost,left
Rand Paul Edges out Marco Rubio to Win CPAC Straw Poll,The Blaze,right
Rand Paul wins CPAC straw poll: what does it mean? (+video),Christian Science Monitor,center
FBI contacts 2nd Kavanaugh accuser; Trump says extra scrutiny may be 'blessing in disguise',Fox News (Online News),right
FBI has contacted Deborah Ramirez about sexual assault allegations by Brett Kavanaugh,USA TODAY,left
FBI has reached out to Kavanaugh accuser Deborah Ramirez,CNN (Online News),left
Kenosha Was a Wake-Up Call for Democratic Leaders across the Country,National Review,right
"Kenosha Protests, Violence Expose Racial Disparities Among The Worst In The Country",NPR (Online News),left
Why Trump’s “Law and Order” Gambit Isn’t Working,Slate,left
Is A 'Fiscal Cliff' Deal Near?,NPR (Online News),left
Obama Hits Social Security In Fiscal Cliff Offer Friendlier To The Wealthy,HuffPost,left
"Obama gives ground on taxes in latest offer, as Boehner's office calls it 'right direction'",Fox News (Online News),right
Meet the Riot Squad: Right-Wing Reporters Whose Viral Videos are Used to Smear BLM,The Intercept,left
Glenn Greenwald Whacks The Intercept for Attacking Reporters Covering Protests: They’re ‘Actively Targeting Two Journalists of Color’,Mediaite,left
We Shouldn’t Need the ‘Riot Squad’ — But We Do. A Response to The Intercept,National Review,right
U.S. buys another 100 million doses of Pfizer vaccine,Axios,center
Trump Administration Announces Purchase Of 100 Million Additional Doses Of Pfizer Coronavirus Vaccine,The Daily Caller,right
U.S. buys another 100M doses of Pfizer-BioNTech coronavirus vaccine,Politico,left
"President Obama, John McCain, Marco Rubio begin immigration dance",Politico,left
Obama presses immigration agenda as senators draft new overhaul,Fox News (Online News),right
Obama to pitch immigration reform,CNN (Online News),left
Trump admin unveils plan for distributing coronavirus vaccines,Politico,left
U.S. plans to distribute COVID-19 vaccine immediately after regulators authorise it,Reuters,center
Five COVID-19 vaccines in advanced trials by October. Doses to be shipped within 24 hours of FDA approval,Washington Examiner,right
Green New Deal dies in Senate and Democrats helped kill it,USA TODAY,left
Senate rejects Ocasio-Cortez’s Green New Deal in 57-0 vote blasted as a ‘sham’ by Dems,New York Post (News),right
Senators block progressive Green New Deal proposal,ABC News (Online),left
What Katie Couric's deceptive editing can teach us about media bias,The Week - News,left
Katie Couric's Deception Just Business as Usual,Newsmax (News),right
Katie Couric Accused of Deceptive Editing in Second Documentary,Washington Free Beacon,right
Hawaii's governor ousted in stunning primary loss,Townhall,right
"Hawaii primary: Abercrombie ousted, Schatz slightly ahead",Politico,left
"In Surprising Defeat, Hawaii Governor Loses Primary",New York Times (News),left
Senate Minority Leader Mitch McConnell announces he just received a COVID booster shot: 'It was an easy decision',Insider,left
"Biden gets COVID-19 booster shot before cameras, pushes vaccinations",ABC News (Online),left
"Biden, McConnell Get Booster Shots Following New CDC Guidance",The Daily Wire,right
Cop shows won’t just disappear. How can we reinvent them?,Vox,left
"Amid George Floyd protests, is it time for cop TV shows to be canceled for good?",USA TODAY,left
Cancel Cancel Culture,National Review,right
What Walker's Departure Means for GOP Field,CBN,right
Why Scott Walker's supernova campaign burned out,Christian Science Monitor,center
"Scott Walker never stood a chance: Why this awkward, Koch-backed midwesterner was outrageously overrated",Salon,left
"Unhinged and Uncensored, Trump Lets Loose at Pennsylvania Rally",Vanity Fair,left
Trump electrifies Western Pennsylvania crowd in sales pitch for Rick Saccone,Washington Examiner,right
Trump In Pennsylvania: I Need Rick Saccone To Help 'Keep America Great!',NPR (Online News),left
"Biden defends Afghanistan withdrawal, recommits to evacuate remaining Americans",ABC News (Online),left
Biden Defends Afghanistan Withdrawal,Wall Street Journal (News),center
Biden claims Afghanistan withdrawal ‘extraordinary success’ in address to nation,New York Post (News),right
US Taiwan: Congress team follows Pelosi with second high-level visit in a month,BBC News,center
China announces new drills around Taiwan as a U.S. delegation visits the island,NPR (Online News),left
China renews military drills around Taiwan amid surprise visit from US lawmakers,Fox News (Online News),right
Economy Barely Budges In Disappointing Jobs Report,HuffPost,left
Whoops! Jobs recovery lost steam in August,CNN (Online News),left
OPINION: What the jobs numbers really mean,Fox News (Online News),right
Roe jolts the midterms — 5 takeaways from a key primary night,Politico,left
"Five takeaways from primaries in Arizona, Missouri and beyond",The Hill,center
Trump's sway over GOP still strong as his endorsed candidates win key primaries Tuesday,Fox News (Online News),right
What the hysteria over critical race theory is really all about,Vox,left
CRT Backlash Is Not Astroturf,National Review,right
Critical race theory: Who gets to decide what is history?,Christian Science Monitor,center
Captain Crozier Is a Hero,New York Times (Opinion),left
The Navy Captain and the Coronavirus,Wall Street Journal (Opinion),right
‘It Doesn’t Add Up To Me’: Current and Former Navy Officials Question Captain’s Abrupt Dismissal,Defense One,center
"CBO sees rapid growth recovery, labor force returning to pre-pandemic level by 2022",CNBC,center
CBO Sees a Stronger U.S. Recovery After Stimulus Moves in 2020,Bloomberg,left
GDP set for strongest growth in 17 years in 2021: CBO,Washington Examiner,right
Gina Haspel: Full Steam Ahead,Townhall,right
Trump backs CIA nominee Gina Haspel after she offered to quit,BBC News,center
Trump’s Nominee for C.I.A. Director Offered to Withdraw Amid Concerns Over Past Role in Torture Program,New York Times (News),left
Theresa May to quit next month as British prime minister,Washington Times,right
UK set for new PM as Theresa May quits,BBC News,center
Theresa May announces she will resign on 7 June,The Guardian,left
Washington braces for the first shutdown of the national government in 17 years,Washington Post,left
"Government shutdown threat is getting very old, very fast",CNN (Online News),left
Surprise: Most Americans Would Blame GOP for Government Shutdown,Townhall,right
When a 14-point Republican lead disappears,Washington Times,right
"Amid Fraud Allegations, State Election Board Won't Certify North Carolina House Race",NPR (Online News),left
"Election fraud scheme on L.A.'s skid row got homeless to sign fake names for cigarettes and cash, D.A. says",Los Angeles Times,left
FDA Approves Moderna's Coronavirus Vaccine,Townhall,right
FDA grants emergency authorization to Moderna's Covid-19 vaccine,NBC News (Online),left
U.S. FDA authorizes Moderna's COVID-19 vaccine for emergency use,Reuters,center
Trump to revoke Obama-era flood risk building standards,Reuters,center
Trump to Roll Back Obama’s Flood Standards for Infrastructure,New York Times (News),left
Fact Sheet: President Donald J. Trump Works to Rebuild America's Infrastructure,Whitehouse.gov,left
Snowden Documents Show Massive Internet Searches,Newsmax (News),right
XKeyscore: Edward Snowden Reveals New NSA Surveillance Program,International Business Times,center
The NSA's Biggest Surveillance Program Yet: X-KEYSCORE,Mother Jones,left
Greece's Tsipras Urges Rejection of Bailout Deal,Newsmax (News),right
Greece debt crisis: PM Tsipras defiant as bank controls bite,BBC News,center
